Date,Transaction Type,No.,Amount ,Due Date,Customer,Split,Terms,A/R Paid,Open Balance,Sent,Delivery Address
,,,,,,,,,,,
11/03/2024,Payment,,66.00  ,11/03/2024,A Cut Above Roofing,Business,,Paid,,,gday@acutaboveroofing.com.au
18/02/2024,Invoice,1463,66.00  ,25/02/2024,A Cut Above Roofing,-Split-,7 Days,Paid,0.00  ,Sent,gday@acutaboveroofing.com.au
,,,,,,,,,,,
,,,,,,,,,,,
27/03/2023,Payment,,121.00  ,27/03/2023,AAPR Services,Business,,Paid,,,
26/03/2023,Invoice,1166,121.00  ,03/04/2023,AAPR Services,-Split-,7 Days,Paid,0.00  ,Sent,AAPRservices@hotmail.com
10/04/2023,Payment,,302.50  ,10/04/2023,AAPR Services,Business,,Paid,,,
02/04/2023,Invoice,1173,302.50  ,09/04/2023,AAPR Services,Sales,7 Days,Paid,0.00  ,Sent,AAPRservices@hotmail.com
29/05/2023,Payment,,121.00  ,29/05/2023,AAPR Services,Business,,Paid,,,AAPRservices@hotmail.com
14/05/2023,Invoice,1208,121.00  ,21/05/2023,AAPR Services,-Split-,7 Days,Paid,0.00  ,Sent,AAPRservices@hotmail.com
,,,,,,,,,,,
,,,,,,,,,,,
05/09/2023,Payment,,60.50  ,05/09/2023,Above It All Roofing,Business,,Paid,,,aboveitallroofing01@gmail.com
04/09/2023,Invoice,1334,60.50  ,11/09/2023,Above It All Roofing,-Split-,7 Days,Paid,0.00  ,Sent,aboveitallroofing01@gmail.com
21/11/2023,Payment,,121.00  ,21/11/2023,Above It All Roofing,Business,,Paid,,,aboveitallroofing01@gmail.com
06/11/2023,Invoice,1389,121.00  ,13/11/2023,Above It All Roofing,Sales,7 Days,Paid,0.00  ,Sent,aboveitallroofing01@gmail.com
27/08/2024,Payment,,66.00  ,27/08/2024,Above It All Roofing,Business,,Paid,,,aboveitallroofing01@gmail.com
19/08/2024,Invoice,1608,66.00  ,26/08/2024,Above It All Roofing,Sales,7 Days,Paid,0.00  ,Sent,aboveitallroofing01@gmail.com
17/06/2025,Payment,,66.00  ,17/06/2025,Above It All Roofing,Business,,Paid,,,aboveitallroofing01@gmail.com
16/06/2025,Invoice,1881,66.00  ,23/06/2025,Above It All Roofing,Sales,7 Days,Paid,0.00  ,Sent,aboveitallroofing01@gmail.com
08/07/2025,Payment,,49.50  ,08/07/2025,Above It All Roofing,Business,,Paid,,,aboveitallroofing01@gmail.com
01/07/2025,Invoice,1903,49.50  ,08/07/2025,Above It All Roofing,Sales,7 Days,Paid,0.00  ,Sent,aboveitallroofing01@gmail.com
19/08/2025,Payment,,231.00  ,19/08/2025,Above It All Roofing,Business,,Paid,,,aboveitallroofing01@gmail.com
17/08/2025,Invoice,1962,231.00  ,25/08/2025,Above It All Roofing,-Split-,7 Days,Paid,0.00  ,Sent,aboveitallroofing01@gmail.com
,,,,,,,,,,,
,,,,,,,,,,,
19/12/2022,Payment,,211.75  ,19/12/2022,Acme Roof Plumbing,Business,,Paid,,,
18/12/2022,Invoice,1085,211.75  ,25/12/2022,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
19/01/2023,Payment,,302.50  ,19/01/2023,Acme Roof Plumbing,Business,,Paid,,,
16/01/2023,Invoice,1093,302.50  ,23/01/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
05/02/2023,Payment,,181.50  ,05/02/2023,Acme Roof Plumbing,Business,,Paid,,,
22/01/2023,Invoice,1098,181.50  ,29/01/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
09/03/2023,Payment,,121.00  ,09/03/2023,Acme Roof Plumbing,Business,,Paid,,,
05/03/2023,Invoice,1142,121.00  ,12/03/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
12/12/2022,Payment,,60.50  ,12/12/2022,Acme Roof Plumbing,Business,,Paid,,,
11/12/2022,Invoice,1078,60.50  ,18/12/2022,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
